plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
442,7,7,6,1,VRA
443,7,7,6,1,VRA
444,7,7,6,1,VRA
445,6,8,6,1,VRA
446,6,8,6,1,VRA
447,6,8,6,1,VRA
448,6,8,6,1,VRA
449,6,8,5,2,VRA
450,6,8,5,2,VRA
451,6,8,5,2,VRA
452,6,8,6,1,VRA
453,6,8,6,1,VRA
454,6,8,5,2,VRA
455,6,8,5,2,VRA
456,6,8,5,2,VRA
457,6,8,5,2,VRA
458,6,8,5,2,VRA
459,6,8,5,2,VRA
460,7,7,5,2,VRA
461,7,7,5,2,VRA
462,7,7,5,2,VRA
463,7,7,5,2,VRA
464,7,7,5,2,VRA
465,7,7,5,2,VRA
466,7,7,5,2,VRA
467,7,7,5,2,VRA
468,7,7,5,2,VRA
469,7,7,5,2,VRA
470,7,7,5,2,VRA
471,7,7,5,2,VRA
472,7,7,5,2,VRA
473,7,7,5,2,VRA
474,7,7,5,2,VRA
475,6,8,5,2,VRA
476,5,9,5,2,VRA
477,5,9,5,2,VRA
478,5,9,5,2,VRA
479,5,9,5,2,VRA
480,5,9,5,2,VRA
481,5,9,5,2,VRA
482,6,8,5,2,VRA
483,6,8,5,2,VRA
484,6,8,5,2,VRA
485,6,8,5,2,VRA
486,6,8,5,2,VRA
487,6,8,5,2,VRA
488,6,8,5,2,VRA
489,6,8,5,2,VRA
490,6,8,5,2,VRA
491,6,8,5,2,VRA
492,6,8,5,2,VRA
493,6,8,5,2,VRA
494,6,8,5,2,VRA
495,6,8,5,2,VRA
496,6,8,5,2,VRA
497,6,8,5,2,VRA
498,6,8,5,2,VRA
499,6,8,5,2,VRA
500,6,8,5,2,VRA
501,6,8,5,2,VRA
502,6,8,5,2,VRA
503,6,8,5,2,VRA
504,6,8,5,2,VRA
505,6,8,5,2,VRA
506,6,8,5,2,VRA
507,6,8,5,2,VRA
508,6,8,5,2,VRA
509,6,8,5,2,VRA
510,7,7,5,2,VRA
511,7,7,5,2,VRA
512,7,7,5,1,VRA
513,7,7,5,1,VRA
514,7,7,5,1,VRA
515,7,7,5,1,VRA
516,7,7,5,1,VRA
517,7,7,5,1,VRA
518,7,7,5,1,VRA
519,7,7,5,1,VRA
520,7,7,5,1,VRA
521,7,7,5,1,VRA
522,7,7,5,1,VRA
523,7,7,5,1,VRA
524,7,7,5,1,VRA
525,7,7,5,1,VRA
526,7,7,5,1,VRA
527,7,7,5,1,VRA
528,7,7,5,1,VRA
529,7,7,5,1,VRA
530,7,7,5,1,VRA
531,7,7,5,1,VRA
532,7,7,5,1,VRA
533,7,7,5,1,VRA
534,7,7,5,1,VRA
535,7,7,5,1,VRA
536,7,7,5,1,VRA
537,7,7,5,1,VRA
538,7,7,5,1,VRA
539,7,7,5,1,VRA
540,7,7,5,1,VRA
541,7,7,5,1,VRA
542,7,7,5,1,VRA
543,7,7,5,1,VRA
544,7,7,5,1,VRA
545,7,7,5,1,VRA
546,7,7,5,1,VRA
547,7,7,5,1,VRA
548,7,7,5,1,VRA
549,7,7,5,1,VRA
550,7,7,5,1,VRA
551,7,7,5,1,VRA
552,7,7,5,1,VRA
553,7,7,5,1,VRA
554,7,7,5,1,VRA
555,7,7,5,1,VRA
556,7,7,5,1,VRA
557,7,7,5,1,VRA
558,7,7,5,1,VRA
559,7,7,5,1,VRA
560,7,7,5,1,VRA
561,7,7,5,1,VRA
562,7,7,5,1,VRA
563,7,7,5,1,VRA
564,7,7,5,1,VRA
565,7,7,5,1,VRA
566,6,8,5,1,VRA
567,6,8,5,1,VRA
568,7,7,5,1,VRA
569,7,7,5,1,VRA
570,7,7,5,1,VRA
571,7,7,5,1,VRA
572,7,7,5,1,VRA
573,7,7,5,1,VRA
574,7,7,5,1,VRA
575,7,7,5,1,VRA
576,7,7,5,1,VRA
577,7,7,5,1,VRA
578,7,7,5,1,VRA
579,7,7,5,1,VRA
580,7,7,5,1,VRA
581,7,7,5,1,VRA
582,7,7,5,1,VRA
583,7,7,5,1,VRA
584,7,7,5,1,VRA
585,7,7,5,1,VRA
586,7,7,5,1,VRA
587,7,7,5,1,VRA
588,6,8,5,1,VRA
589,6,8,5,1,VRA
590,7,7,5,1,VRA
591,6,8,5,1,VRA
592,6,8,5,1,VRA
593,6,8,5,1,VRA
594,6,8,5,1,VRA
595,6,8,5,1,VRA
596,6,8,5,1,VRA
597,6,8,5,1,VRA
598,7,7,5,1,VRA
599,7,7,5,1,VRA
600,7,7,5,1,VRA
601,7,7,5,1,VRA
602,7,7,5,1,VRA
603,7,7,5,1,VRA
604,7,7,5,1,VRA
605,7,7,5,1,VRA
606,7,7,5,1,VRA
607,7,7,5,1,VRA
608,7,7,5,1,VRA
609,7,7,5,1,VRA
610,7,7,5,1,VRA
611,7,7,5,1,VRA
612,7,7,5,1,VRA
613,7,7,5,1,VRA
614,7,7,5,1,VRA
615,7,7,5,1,VRA
616,7,7,5,2,VRA
617,7,7,5,1,VRA
618,7,7,5,1,VRA
619,7,7,5,1,VRA
620,6,8,6,1,VRA
621,6,8,6,1,VRA
622,6,8,6,1,VRA
623,6,8,6,1,VRA
624,6,8,6,1,VRA
625,6,8,6,1,VRA
626,6,8,6,1,VRA
627,6,8,6,1,VRA
628,6,8,5,1,VRA
629,6,8,5,1,VRA
630,6,8,5,1,VRA
631,6,8,5,1,VRA
632,6,8,5,1,VRA
633,6,8,5,1,VRA
634,6,8,5,1,VRA
635,6,8,5,1,VRA
636,6,8,5,2,VRA
637,6,8,5,2,VRA
638,6,8,5,2,VRA
