plan_id,democrat,republican,minority_effective,opportunity_districts,ensemble
904,6,8,6,2,VRA
905,6,8,5,3,VRA
906,6,8,5,3,VRA
907,6,8,5,3,VRA
908,6,8,6,2,VRA
909,6,8,6,1,VRA
910,5,9,5,1,VRA
911,5,9,5,1,VRA
912,5,9,5,1,VRA
913,5,9,5,1,VRA
914,5,9,5,1,VRA
915,5,9,5,1,VRA
916,5,9,5,1,VRA
917,5,9,5,1,VRA
918,5,9,5,1,VRA
919,5,9,5,1,VRA
920,5,9,5,1,VRA
921,5,9,5,1,VRA
922,5,9,5,1,VRA
923,5,9,5,1,VRA
924,5,9,5,1,VRA
925,5,9,5,1,VRA
926,5,9,5,1,VRA
927,5,9,5,1,VRA
928,5,9,5,1,VRA
929,5,9,5,1,VRA
930,5,9,5,1,VRA
931,5,9,5,1,VRA
932,5,9,5,1,VRA
933,5,9,5,1,VRA
934,5,9,5,1,VRA
935,5,9,5,1,VRA
936,5,9,5,1,VRA
937,5,9,5,1,VRA
938,5,9,5,1,VRA
939,5,9,5,1,VRA
940,5,9,5,1,VRA
941,5,9,5,1,VRA
942,5,9,5,1,VRA
943,5,9,5,1,VRA
944,5,9,5,1,VRA
945,5,9,5,1,VRA
946,5,9,5,1,VRA
947,5,9,5,1,VRA
948,5,9,5,1,VRA
949,5,9,5,1,VRA
950,5,9,5,1,VRA
951,5,9,5,1,VRA
952,5,9,5,1,VRA
953,5,9,5,1,VRA
954,5,9,5,1,VRA
955,5,9,5,1,VRA
956,5,9,5,1,VRA
957,5,9,5,1,VRA
958,5,9,5,1,VRA
959,5,9,5,1,VRA
960,5,9,5,1,VRA
961,5,9,5,1,VRA
962,5,9,5,1,VRA
963,5,9,5,1,VRA
964,5,9,5,1,VRA
965,5,9,5,1,VRA
966,5,9,5,1,VRA
967,5,9,5,1,VRA
968,5,9,5,1,VRA
969,5,9,5,1,VRA
970,5,9,5,1,VRA
971,5,9,5,1,VRA
972,5,9,5,1,VRA
973,5,9,5,1,VRA
974,5,9,5,1,VRA
975,5,9,5,1,VRA
976,5,9,5,1,VRA
977,5,9,5,1,VRA
978,5,9,5,1,VRA
979,5,9,5,1,VRA
980,5,9,5,1,VRA
981,5,9,5,1,VRA
982,5,9,5,1,VRA
983,5,9,5,1,VRA
