plan_id,black_pct,latino_pct
41,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.312351
5     0.100416
6     0.074926
7     0.310124
8     0.648871
9     0.488206
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.062988
5     0.077132
6     0.072778
7     0.053961
8     0.069001
9     0.051405
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
42,"0     0.265985
1     0.490866
2     0.262172
3     0.117677
4     0.312351
5     0.100416
6     0.074926
7     0.310124
8     0.603971
9     0.540534
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037065
2     0.045256
3     0.061312
4     0.062988
5     0.077132
6     0.072778
7     0.053961
8     0.066270
9     0.054953
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
43,"0     0.265985
1     0.474329
2     0.266473
3     0.117677
4     0.312351
5     0.100416
6     0.074926
7     0.310124
8     0.603971
9     0.540534
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.044755
3     0.061312
4     0.062988
5     0.077132
6     0.072778
7     0.053961
8     0.066270
9     0.054953
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
44,"0     0.265985
1     0.474329
2     0.266473
3     0.117677
4     0.312351
5     0.100416
6     0.074072
7     0.310124
8     0.579900
9     0.540534
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.044755
3     0.061312
4     0.062988
5     0.077132
6     0.072676
7     0.053961
8     0.066661
9     0.054953
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
45,"0     0.265985
1     0.474329
2     0.099073
3     0.117677
4     0.312351
5     0.271342
6     0.074072
7     0.310124
8     0.579900
9     0.540534
10    0.172970
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.075976
3     0.061312
4     0.062988
5     0.045263
6     0.072676
7     0.053961
8     0.066661
9     0.054953
10    0.077677
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
46,"0     0.265985
1     0.474329
2     0.171727
3     0.117677
4     0.312351
5     0.271342
6     0.074072
7     0.310124
8     0.579900
9     0.540534
10    0.106112
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.061312
4     0.062988
5     0.045263
6     0.072676
7     0.053961
8     0.066661
9     0.054953
10    0.077635
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
47,"0     0.265985
1     0.474329
2     0.171727
3     0.548999
4     0.312351
5     0.271342
6     0.074072
7     0.310124
8     0.579900
9     0.122923
10    0.106112
11    0.378884
12    0.568065
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.055962
4     0.062988
5     0.045263
6     0.072676
7     0.053961
8     0.066661
9     0.060186
10    0.077635
11    0.039513
12    0.080188
13    0.117323
dtype: float64"
48,"0     0.265985
1     0.474329
2     0.171727
3     0.548999
4     0.321723
5     0.271342
6     0.074072
7     0.310124
8     0.579900
9     0.122923
10    0.106112
11    0.378884
12    0.537446
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.055962
4     0.064117
5     0.045263
6     0.072676
7     0.053961
8     0.066661
9     0.060186
10    0.077635
11    0.039513
12    0.077683
13    0.117323
dtype: float64"
49,"0     0.265985
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.271342
6     0.074072
7     0.310124
8     0.579900
9     0.122923
10    0.106112
11    0.378884
12    0.559712
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045263
6     0.072676
7     0.053961
8     0.066661
9     0.060186
10    0.077635
11    0.039513
12    0.056320
13    0.117323
dtype: float64"
50,"0     0.265985
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.271342
6     0.587860
7     0.310124
8     0.073503
9     0.122923
10    0.106112
11    0.378884
12    0.559712
13    0.269658
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045263
6     0.066837
7     0.053961
8     0.072372
9     0.060186
10    0.077635
11    0.039513
12    0.056320
13    0.117323
dtype: float64"
51,"0     0.265985
1     0.474329
2     0.171727
3     0.524990
4     0.321723
5     0.271342
6     0.587860
7     0.310124
8     0.267824
9     0.122923
10    0.106112
11    0.378884
12    0.559712
13    0.073597
dtype: float64","0     0.048694
1     0.037958
2     0.075980
3     0.078653
4     0.064117
5     0.045263
6     0.066837
7     0.053961
8     0.118362
9     0.060186
10    0.077635
11    0.039513
12    0.056320
13    0.070917
dtype: float64"
