"GEO_ID","NAME","P1_001N","P1_002N","P1_003N","P1_004N","P1_005N","P1_006N","P1_007N","P1_008N","P1_009N","P1_010N","P1_011N","P1_012N","P1_013N","P1_014N","P1_015N","P1_016N","P1_017N","P1_018N","P1_019N","P1_020N","P1_021N","P1_022N","P1_023N","P1_024N","P1_025N","P1_026N","P1_027N","P1_028N","P1_029N","P1_030N","P1_031N","P1_032N","P1_033N","P1_034N","P1_035N","P1_036N","P1_037N","P1_038N","P1_039N","P1_040N","P1_041N","P1_042N","P1_043N","P1_044N","P1_045N","P1_046N","P1_047N","P1_048N","P1_049N","P1_050N","P1_051N","P1_052N","P1_053N","P1_054N","P1_055N","P1_056N","P1_057N","P1_058N","P1_059N","P1_060N","P1_061N","P1_062N","P1_063N","P1_064N","P1_065N","P1_066N","P1_067N","P1_068N","P1_069N","P1_070N","P1_071N",
"7000000US13055XC-968","CLOUDLAND-TELOGA, Chattooga County, Georgia","1471","1433","1407","14","4","4","0","4","38","34","7","16","2","0","9","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000001","AIR ACRES, Cherokee County, Georgia","4298","3873","3336","190","28","119","1","199","425","407","32","72","43","0","249","4","5","0","1","0","0","0","1","0","0","18","10","1","0","1","3","0","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000002","ARNOLD MILL, Cherokee County, Georgia","6539","5956","5345","182","32","132","2","263","583","563","23","130","72","1","314","1","2","0","9","1","0","10","0","0","0","18","0","0","0","0","12","0","4","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0",
"7000000US13057000003","AVERY, Cherokee County, Georgia","4432","4076","3843","113","9","37","1","73","356","342","25","76","31","0","199","0","0","0","8","0","0","1","0","2","0","14","3","2","0","1","0","0","6","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000004","BALL GROUND, Cherokee County, Georgia","5236","4929","4779","55","16","7","3","69","307","292","33","129","19","3","100","0","1","0","5","0","1","0","1","0","0","14","2","0","1","4","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000005","BASCOMB, Cherokee County, Georgia","5371","4896","4453","266","11","77","1","88","475","454","45","99","56","0","237","0","5","0","7","0","0","1","0","4","0","21","1","4","0","0","5","0","9","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000006","BELLS, Cherokee County, Georgia","8992","7925","5241","1476","39","581","2","586","1067","1033","96","185","74","2","614","7","3","0","36","0","0","13","2","1","0","31","8","0","0","5","1","0","12","1","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000007","BOOTH, Cherokee County, Georgia","5583","5128","4379","459","2","185","3","100","455","438","54","83","54","1","223","10","7","1","2","0","0","1","0","1","1","17","2","1","0","4","2","0","1","1","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000008","BRADSHAW, Cherokee County, Georgia","5504","5155","4725","238","26","96","6","64","349","333","32","73","52","0","160","2","0","0","10","0","0","4","0","0","0","14","3","0","0","5","1","0","3","0","1","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"7000000US13057000009","BRIDGEMILL, Cherokee County, Georgia","6385","5940","5481","223","21","94","4","117","445","433","52","77","44","3","243","5","3","0","3","1","0","0","0","1","1","12","2","4","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
