plan_id,black_scores,latino_scores
52,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0.13367472468882108, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.11264032270679059, 14: 0}"
53,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0.13367472468882108, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.11634113834667618, 14: 0}"
54,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 1, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0.13367472468882108, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0.11634113834667618, 14: 0}"
55,"{1: 0, 2: 0.9486584794019428, 3: 0, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 1, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0.6196899774619601, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0.13367472468882108, 8: 0, 9: 0.12706385908210255, 10: 0, 11: 0, 12: 0, 13: 0.22741734247820566, 14: 0}"
56,"{1: 0, 2: 0.9486584794019428, 3: 1, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0.6196899774619601, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0.14145101369987442, 4: 0.1573057694104857, 5: 0.1282344722099226, 6: 0, 7: 0, 8: 0, 9: 0.12706385908210255, 10: 0, 11: 0, 12: 0, 13: 0.22741734247820566, 14: 0}"
57,"{1: 0, 2: 0.9486584794019428, 3: 1, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0.6196899774619601, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0.14437722418738144, 4: 0.15385342237337626, 5: 0.1282344722099226, 6: 0, 7: 0, 8: 0, 9: 0.12706385908210255, 10: 0, 11: 0, 12: 0, 13: 0.22741734247820566, 14: 0}"
58,"{1: 0, 2: 0.9486584794019428, 3: 1, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0.14437722418738144, 4: 0.1382674742627223, 5: 0.1282344722099226, 6: 0, 7: 0, 8: 0, 9: 0.12706385908210255, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}"
59,"{1: 0, 2: 0.9486584794019428, 3: 1, 4: 1, 5: 0.6434452240528103, 6: 0.9311870838772066, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0.14437722418738144, 4: 0.1382674742627223, 5: 0.1282344722099226, 6: 0.11164698481695437, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}"
60,"{1: 0, 2: 0.9486584794019428, 3: 1, 4: 1, 5: 0.6434452240528103, 6: 0.9311870838772066, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0.14437722418738144, 4: 0.1382674742627223, 5: 0.1282344722099226, 6: 0.11164698481695437, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}"
61,"{1: 0, 2: 0.9486584794019428, 3: 1, 4: 1, 5: 0.6434452240528103, 6: 0, 7: 0, 8: 0, 9: 1, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}","{1: 0, 2: 0.07591558700371165, 3: 0.14437722418738144, 4: 0.1382674742627223, 5: 0.1282344722099226, 6: 0, 7: 0, 8: 0, 9: 0.13384798226366346, 10: 0, 11: 0, 12: 0, 13: 0, 14: 0}"
