plan_id,black_scores,latino_scores
38,"{1: 0, 2: 0, 3: 0.4472712447948747, 4: 1, 5: 0, 6: 0.5633437405728422, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0.17055838071646434, 4: 0.11043994933994501, 5: 0, 6: 0.24713876200561855, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.10376177885289531}"
39,"{1: 0, 2: 0, 3: 0.4668676301700547, 4: 1, 5: 0, 6: 0.5633437405728422, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0.1724715337928703, 4: 0.11043994933994501, 5: 0, 6: 0.24713876200561855, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.10376177885289531}"
40,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.4576952302086204, 6: 0.5633437405728422, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11043994933994501, 5: 0.1740737135039784, 6: 0.24713876200561855, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.10376177885289531}"
41,"{1: 0, 2: 0, 3: 0, 4: 1, 5: 0.4576952302086204, 6: 0.5633437405728422, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0, 4: 0.11043994933994501, 5: 0.1740737135039784, 6: 0.24713876200561855, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.10376177885289531}"
42,"{1: 0, 2: 0, 3: 0.5226402215888023, 4: 1, 5: 0.4576952302086204, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0.21928808136237754, 4: 0.11043994933994501, 5: 0.1740737135039784, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.10376177885289531}"
43,"{1: 0, 2: 0, 3: 0.5226402215888023, 4: 1, 5: 0.4576952302086204, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0, 14: 1}","{1: 0, 2: 0, 3: 0.21928808136237754, 4: 0.11043994933994501, 5: 0.1740737135039784, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0, 14: 0.10376177885289531}"
44,"{1: 0, 2: 0, 3: 0.5226402215888023, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 1}","{1: 0, 2: 0, 3: 0.21928808136237754, 4: 0.11043994933994501, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0.10376177885289531}"
45,"{1: 0, 2: 0, 3: 0.7430367082387493, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 1}","{1: 0, 2: 0, 3: 0.1692585288731262, 4: 0.11043994933994501, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0.1541708327678645}"
46,"{1: 0, 2: 0, 3: 0.7332645667457969, 4: 1, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 1}","{1: 0, 2: 0, 3: 0.17710744380753976, 4: 0.11043994933994501, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0.1541708327678645}"
47,"{1: 0, 2: 0, 3: 0.7332645667457969, 4: 1, 5: 1, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.7785007967676163, 12: 0, 13: 0.4556226665480975, 14: 0}","{1: 0, 2: 0, 3: 0.17710744380753976, 4: 0.11043994933994501, 5: 0.14143454789137083, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 0.10880562490686312, 12: 0, 13: 0.17272182849003093, 14: 0}"
